mz,RT,feature,withMS2
350.734183185734,858.52669999998,f686,0
350.91149241064,66.45040000002,f687,0
350.948808581948,66.29000000002,f688,0
351.120001531989,540.8407,f689,1
352.912175090709,70.00829999998,f690,0
352.937444339476,66.07125000001,f691,0
352.944345165591,67.8681,f692,0
353.137324864263,690.117,f693,1
353.200501624491,1814.45105,f694,1
354.932875981959,67.8681,f695,0
354.938283565527,91.12415000001,f696,1
354.945258076469,70.64790000002,f697,0
355.15845505715,1744.73970000002,f698,0
355.158470483064,1652.69939999998,f699,1
355.959011131547,77.33500000001,f700,0
356.161668722701,1654.53659999998,f701,1
356.740377731662,918.38784999999,f702,1
356.759088105322,1143.5364,f703,1
356.75902819931,1216.46839999998,f704,0
356.907488985835,91.98385000001,f705,1
356.919913233136,92.2302,f706,1
356.924026244835,69.89134999999,f707,1
357.239565122882,741.02050000002,f708,1
357.907082808894,92.4143,f709,1
357.938431523728,74.77860000002,f710,0
358.73832877973,918.38784999999,f711,1
358.75594908824,802.92640000002,f712,0
358.756977428837,1143.24400000002,f713,1
358.756893759169,1216.46839999998,f714,0
358.922307597603,78.35519999998,f715,0
358.944693090443,65.11490000002,f716,0
359.210743339396,911.0526,f717,1
359.741687611817,919.01700000002,f718,1
359.953808296091,78.29910000001,f719,0
360.239222897404,720.2974,f720,1
360.730094146469,919.01700000002,f721,0
360.736280626291,918.36569999998,f722,1
360.753947089436,926.12165000001,f723,0
360.911698576141,64.58470000002,f724,0
360.925343995216,71.4665,f725,0
360.933092023576,66.13269999998,f726,0
361.132754361996,1370.5298,f727,0
361.24260392912,720.5082,f728,1
361.933967877298,66.29000000002,f729,0
362.734243766586,918.38784999999,f730,0
362.751923524659,919.6187,f731,0
362.751860731273,806.7661,f732,1
362.934631385627,71.5006,f733,0
362.94102108905,71.4665,f734,1
362.969741222142,1430.24359999998,f735,1
363.941864268119,71.44489999999,f736,0
364.226055626448,857.57775000001,f737,1
364.877791431164,83.6172,f738,1
364.887946105948,66.13269999998,f739,0
364.889261141932,91.78300000002,f740,0
364.928133908693,92.2302,f741,1
364.938610063873,71.57790000002,f742,0
364.945327511906,74.99075000001,f743,0
365.005158291083,537.49309999998,f744,0
365.007662673581,537.59569999999,f745,1
365.013395827503,537.5101,f746,1
366.01206287292,538.40365,f747,0
366.016786001319,537.51185,f748,1
366.874865916381,83.6628,f749,0
366.926372101017,67.94740000002,f750,0
