mz,RT,feature,Omni14,Omni8,Omni12,Omni3,Omni2,Omni10,Omni13,Omni7,Omni4,Omni11,Omni9,Omni1,Omni15,Omni6,Omni5
463.896477334936,67.17575000001,f1291,29587.8426361084,24231.2909271894,15659.268305625,33494.6741026216,14059.9854767527,0,15663.3854579646,0,17941.4975710805,4741.62641901523,11301.5373102771,18567.6711553838,3968.67375988327,6641.30681256298,20816.2404160516
464.680229434409,1302.21679999998,f1292,0,0,0,21435.1674427763,25858.5008963687,9698.12756965558,0,7563.96679535508,0,0,0,0,0,0,0
464.697899517163,1311.2655,f1293,2953.20729285479,16726.6886596084,2747.23184806108,0,15002.9179089329,0,0,0,0,0,0,0,0,0,0
464.761749712654,1458.98999999999,f1294,35980.9352224498,90224.3193030621,56713.0856160161,81218.3126055071,91401.9160579301,77012.484685595,63204.6232649687,59930.9433601733,71510.6866607101,78090.8544533737,29757.7865070999,89015.4818590297,92271.9381790524,38734.7034049073,93226.8464261788
464.793388605765,1459.56989999998,f1295,39158.7094615599,62688.9920654983,47002.5357902774,110923.463870288,245735.524182232,42954.6422049321,82567.0593995431,30528.0199374246,125173.841666372,71975.2200260011,28580.6845559478,136787.557000069,50856.8796024644,2575.50882527232,127322.255340784
464.865777246844,77.49854999998,f1296,37520.4079587115,23800.7529058201,42378.5136136446,34993.0547251954,43408.7095995134,32523.5957972519,59870.8946478175,24028.7250648718,25969.5168129501,33973.319405639,32943.8931034378,25757.6389246051,26917.957403481,21958.9738397387,36760.0258540838
464.884837875807,65.45465000002,f1297,32243.4219968047,55080.942557794,24678.1197553494,51311.2524219952,63013.4829363508,18233.1694778148,12073.948849272,14902.4941483216,34675.0336649814,21944.7463756828,27692.8075234154,43401.3853760473,19858.0377621592,23128.3294407241,25679.5394029101
464.891857102197,67.31890000001,f1298,30910.937014997,37816.8340558279,26013.7919644117,48690.5209713788,62499.4398122394,16678.7909703489,31337.9571805671,17520.4092239114,31084.7553520259,23899.6965001244,27221.6121010669,30902.4920060998,21638.0008719717,18443.02656502,41082.9017111339
464.89913389087,66.29000000002,f1299,30910.937014997,37816.8340558279,28946.1633606139,11167.4956930825,69121.3418721432,16678.7909703489,33816.4682193349,17520.4092239114,35522.4695532355,20750.127192148,24327.9967272331,43478.2168613703,19047.9259046024,18443.02656502,49077.3483347243
466.678144970695,1329.563,f1300,0,26204.125636823,0,0,43057.5732614868,0,24876.8330996727,0,45444.9401011467,31696.6942811012,0,30916.6612321704,0,11948.6515112271,21222.7098356465
466.695832842632,1334.14409999998,f1301,0,0,0,0,67416.4869741059,0,35876.5724966303,0,39352.8690789892,28091.2367814124,0,46909.3902245164,0,11890.1071648188,31151.0911339785
466.759600200076,1458.64269999998,f1302,111547.132038858,250304.715588276,166865.015673648,224304.766318653,234897.849955992,231976.490504091,184546.014426946,192868.731188662,199965.252902612,169537.749743387,106460.522413287,255539.432294761,266103.897800036,122392.278150376,292401.627872203
